Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-04-10,141.056,141.965,140.388,141.334,1797800,0.0,0.0
2018-04-11,140.945,142.207,140.61,141.446,948000,0.0,0.0
2018-04-12,142.179,142.531,140.184,140.583,1864400,0.0,0.0
2018-04-13,140.555,140.87,136.954,138.096,2318500,0.0,0.0
2018-04-16,139.311,141.232,138.866,139.961,2030900,0.0,0.0
2018-04-17,140.805,142.541,140.23,142.086,1268100,0.0,0.0
2018-04-18,142.55,142.801,141.158,141.52,1827700,0.0,0.0
2018-04-19,140.833,141.761,140.249,140.898,1443600,0.0,0.0
2018-04-20,140.675,141.093,137.288,138.021,2484200,0.0,0.0
2018-04-23,138.597,138.764,136.416,137.298,1666800,0.0,0.0
2018-04-24,138.04,139.098,134.978,136.295,2164700,0.0,0.0
2018-04-25,136.017,136.295,134.384,135.943,2011600,0.0,0.0
2018-04-26,136.611,137.669,136.37,136.963,1201100,0.0,0.0
2018-04-27,137.066,138.374,136.472,138.031,1326800,0.0,0.0
2018-04-30,138.587,139.701,137.066,137.427,3015100,0.0,0.0
2018-05-01,136.991,137.26,134.495,134.495,3096200,0.0,0.0
2018-05-02,129.92,130.746,122.273,123.043,7249300,0.0,0.0
2018-05-03,124.983,125.762,122.524,124.463,4397200,0.0,0.0
2018-05-04,123.962,126.969,123.48,125.967,2293300,0.0,0.0
2018-05-07,125.957,126.171,123.387,124.157,2285700,0.0,0.0
2018-05-08,124.64,127.387,124.185,126.394,2376300,0.0,0.0
2018-05-09,127.117,127.915,126.022,127.888,2734600,0.0,0.0
2018-05-10,128.463,129.474,128.277,128.528,1691000,0.0,0.0
2018-05-11,128.528,130.198,128.324,130.096,2059200,0.0,0.0
2018-05-14,130.839,130.969,130.096,130.505,1621200,0.0,0.0
2018-05-15,130.402,131.962,129.465,131.924,2355400,0.0,0.0
2018-05-16,132.147,134.718,132.036,134.282,2500900,0.0,0.0
2018-05-17,134.189,135.107,133.827,134.467,2476700,0.0,0.0
2018-05-18,134.727,135.46,132.88,135.015,1795100,0.0,0.0
2018-05-21,135.757,137.223,135.117,137.149,1448700,0.0,0.0
2018-05-22,137.344,137.966,137.001,137.233,1015400,0.0,0.0
2018-05-23,137.455,140.425,137.446,140.406,1684800,0.0,0.0
2018-05-24,140.128,140.583,138.68,139.692,1407800,0.0,0.0
2018-05-25,139.2,140.824,139.024,139.961,1243800,0.0,0.0
2018-05-29,139.395,140.416,138.652,139.321,1542700,0.0,0.0
2018-05-30,140.586,141.144,139.451,140.66,1988000,0.38,0.0
2018-05-31,140.623,140.949,138.325,139.032,2903100,0.0,0.0
2018-06-01,139.739,140.0,136.102,138.065,1631200,0.0,0.0
2018-06-04,138.809,139.656,138.474,138.772,1717500,0.0,0.0
2018-06-05,138.855,139.255,137.302,138.344,1629700,0.0,0.0
2018-06-06,138.148,138.223,137.144,137.888,1467900,0.0,0.0
2018-06-07,137.655,141.395,137.311,140.958,1594000,0.0,0.0
2018-06-08,140.902,142.558,140.66,142.391,983000,0.0,0.0
2018-06-11,142.484,144.856,142.447,144.251,1309600,0.0,0.0
2018-06-12,144.251,146.661,143.703,146.149,1613800,0.0,0.0
2018-06-13,146.522,146.652,144.317,144.782,1787100,0.0,0.0
2018-06-14,144.512,145.963,144.475,145.48,1003800,0.0,0.0
2018-06-15,146.391,147.145,145.126,147.024,1591600,0.0,0.0
2018-06-18,147.024,147.74,145.573,146.112,1485800,0.0,0.0
2018-06-19,144.828,145.321,143.554,144.205,1463800,0.0,0.0
2018-06-20,145.089,145.107,141.805,142.409,1941400,0.0,0.0
2018-06-21,142.484,142.484,140.902,141.293,1218000,0.0,0.0
2018-06-22,142.0,142.921,141.228,142.279,1305900,0.0,0.0
2018-06-25,138.52,139.116,134.706,135.478,2880000,0.0,0.0
2018-06-26,135.543,137.125,135.478,136.52,1662200,0.0,0.0
2018-06-27,137.339,139.209,134.873,134.892,1465200,0.0,0.0
2018-06-28,134.892,134.892,130.947,132.622,3745000,0.0,0.0
2018-06-29,133.971,134.501,132.724,132.752,2230400,0.0,0.0
2018-07-02,132.324,132.957,131.301,132.799,1440800,0.0,0.0
2018-07-03,133.506,134.232,131.561,132.064,904000,0.0,0.0
2018-07-05,133.571,133.952,132.064,133.552,1848300,0.0,0.0
2018-07-06,132.938,132.938,131.096,132.501,1721200,0.0,0.0
2018-07-09,132.473,133.124,131.868,132.706,1377100,0.0,0.0
2018-07-10,132.92,134.734,132.473,134.529,1768300,0.0,0.0
2018-07-11,133.776,134.036,128.435,129.757,2648900,0.0,0.0
2018-07-12,130.278,130.668,128.752,129.17,1913500,0.0,0.0
2018-07-13,129.477,131.533,128.501,130.705,1414800,0.0,0.0
2018-07-16,130.631,131.692,130.119,131.133,1158000,0.0,0.0
2018-07-17,130.836,132.817,130.836,132.296,1723300,0.0,0.0
2018-07-18,132.808,133.952,130.073,131.375,1858900,0.0,0.0
2018-07-19,130.687,131.338,130.166,130.64,1315500,0.0,0.0
2018-07-20,130.715,132.334,130.259,131.254,1106900,0.0,0.0
2018-07-23,131.171,131.757,130.882,131.543,1008100,0.0,0.0
2018-07-24,132.045,133.19,129.691,129.868,1782600,0.0,0.0
2018-07-25,129.784,131.72,129.784,131.654,1388600,0.0,0.0
2018-07-26,132.036,132.948,129.877,129.989,1986300,0.0,0.0
2018-07-27,130.194,130.882,127.207,127.263,1981000,0.0,0.0
2018-07-30,127.272,127.449,124.519,124.723,3831700,0.0,0.0
2018-07-31,124.295,126.37,122.835,125.542,2730000,0.0,0.0
2018-08-01,124.974,125.533,124.007,125.068,2198500,0.0,0.0
2018-08-02,125.049,127.561,124.444,127.217,1658300,0.0,0.0
2018-08-03,127.226,128.175,124.547,125.589,1750800,0.0,0.0
2018-08-06,125.951,126.807,124.686,125.672,1317000,0.0,0.0
2018-08-07,126.37,127.17,125.523,125.923,1147500,0.0,0.0
2018-08-08,125.551,125.877,123.821,123.849,1547600,0.0,0.0
2018-08-09,123.318,123.858,121.383,122.965,3087400,0.0,0.0
2018-08-10,122.081,125.03,119.839,123.486,1959300,0.0,0.0
2018-08-13,124.091,124.258,122.09,123.114,1934100,0.0,0.0
2018-08-14,123.523,124.156,122.202,123.784,1939100,0.0,0.0
2018-08-15,123.17,124.323,122.202,124.23,1956300,0.0,0.0
2018-08-16,124.975,129.301,123.588,124.267,3010800,0.0,0.0
2018-08-17,125.04,126.733,124.323,126.472,4549000,0.0,0.0
2018-08-20,131.282,134.883,129.487,130.771,6274500,0.0,0.0
2018-08-21,131.617,132.473,125.496,127.114,5280900,0.0,0.0
2018-08-22,127.003,127.086,124.454,125.663,2844700,0.0,0.0
2018-08-23,124.872,125.012,122.9,123.858,3086000,0.0,0.0
2018-08-24,124.081,126.751,124.007,126.147,1983900,0.0,0.0
2018-08-27,126.733,129.598,126.528,128.621,1887500,0.0,0.0
2018-08-28,132.966,135.832,129.822,130.333,3226600,0.0,0.0
2018-08-29,130.724,132.222,130.361,130.594,2532300,0.0,0.0
2018-08-30,130.463,131.098,129.82,130.137,1808800,0.38,0.0
2018-08-31,129.988,131.172,129.484,130.715,2844300,0.0,0.0
2018-09-04,129.558,130.557,128.644,128.877,2389200,0.0,0.0
